Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
Iraq,28,Female,4,Arabic,English,4,47,499,0.595079
Sudan,24,Male,3,Arabic,English,1,31,474,0.595079
Sudan,37,Male,7,Arabic,English,4,31,492,0.595079
Lebanon,19,Male,1,Arabic,English,3,83,513,0.595079
Iraq,25,Male,3,Arabic,Monolingual,1,47,542,0.595079
Sudan,21,Male,7,Arabic,English,3,31,506,0.595079
Morocco,38,Female,2,Arabic,French,4,49,505,0.595079
Morocco,22,Female,13,Arabic,French,2,49,555,0.595079
Morocco,19,Female,6,Arabic,Monolingual,2,49,475,0.595079
Morocco,30,Female,7,Arabic,French,4,49,513,0.595079
Iraq,19,Male,2,Arabic,Monolingual,2,47,499,0.595079
Iraq,38,Male,3,Arabic,English,4,47,517,0.595079
Lebanon,38,Female,2,Arabic,Italian,4,83,494,0.595079
Morocco,27,Male,3,Arabic,French,3,49,500,0.595079
Morocco,31,Male,2,Arabic,English,4,49,503,0.595079
Iraq,25,Female,5,Arabic,English,3,47,512,0.595079
Morocco,29,Male,2,Arabic,French,3,49,441,0.595079
Morocco,23,Male,1,Arabic,French,3,49,444,0.595079
Morocco,25,Male,22,Arabic,Monolingual,3,49,542,0.595079
Sudan,26,Male,3,Arabic,English,3,31,439,0.595079
Iraq,33,Male,2,Arabic,Arabic,1,47,444,0.595079
Libya,0,Male,31,Arabic,English,3,103,470,0.595079
Morocco,27,Male,1,Arabic,French,4,49,498,0.595079
Morocco,29,Male,5,Arabic,French,3,49,508,0.595079
Morocco,23,Female,2,Arabic,English,4,49,508,0.595079
Morocco,23,Male,1,Arabic,French,3,49,526,0.595079
Iraq,28,Male,6,Arabic,English,4,47,498,0.595079
Netherlands,20,Female,1,Arabic,French,3,118,550,0.595079
Morocco,27,Female,3,Arabic,French,4,49,465,0.595079
Morocco,24,Male,1,Arabic,French,1,49,498,0.595079
Morocco,40,Female,1,Arabic,French,4,49,508,0.595079
Morocco,20,Female,2,Arabic,French,3,49,554,0.595079
Morocco,23,Male,1,Arabic,English,3,49,418,0.595079
Iraq,21,Female,14,Arabic,English,3,47,488,0.595079
Iraq,46,Male,4,Arabic,English,2,47,497,0.595079
Morocco,30,Male,2,Arabic,French,3,49,505,0.595079
Morocco,28,Male,2,Arabic,French,4,49,500,0.595079
Iraq,24,Male,3,Arabic,English,4,47,509,0.595079
Morocco,30,Male,3,Arabic,French,3,49,492,0.595079
Iraq,27,Female,6,Arabic,English,3,47,498,0.595079
Morocco,19,Female,2,Arabic,Spanish,3,49,526,0.595079
Morocco,31,Female,6,Arabic,French,2,49,512,0.595079
Lebanon,15,Male,2,Arabic,English,1,83,510,0.595079
Lebanon,29,Male,6,Arabic,French,4,83,477,0.595079
Morocco,27,Female,2,Arabic,French,1,49,532,0.595079
Morocco,30,Male,2,Arabic,French,4,49,508,0.595079
Morocco,21,Male,1,Arabic,French,4,49,487,0.595079
Morocco,33,Male,1,Arabic,French,4,49,498,0.595079
Iraq,26,Female,3,Arabic,English,3,47,484,0.595079
Morocco,28,Male,1,Arabic,French,4,49,418,0.595079
Lebanon,27,Female,3,Arabic,French,3,83,544,0.595079
Morocco,19,Female,2,Arabic,French,3,49,496,0.595079
Lebanon,20,Male,5,Arabic,Spanish,4,83,537,0.595079
Morocco,37,Male,24,Arabic,Spanish,1,49,457,0.595079
Morocco,21,Male,3,Arabic,Monolingual,3,49,495,0.595079
Morocco,24,Male,1,Arabic,French,4,49,508,0.595079
Iraq,39,Male,4,Arabic,English,2,47,452,0.595079
Morocco,26,Female,3,Arabic,French,1,49,462,0.595079
Morocco,19,Female,3,Arabic,French,3,49,562,0.595079
Morocco,31,Male,1,Arabic,French,1,49,471,0.595079
Iraq,42,Male,6,Arabic,English,3,47,491,0.595079
Iraq,39,Male,3,Arabic,English,4,47,471,0.595079
Morocco,21,Male,16,Arabic,French,3,49,615,0.595079
Morocco,20,Female,2,Arabic,French,3,49,542,0.595079
Morocco,30,Male,9,Arabic,French,3,49,491,0.595079
Algeria,33,Male,2,Arabic,French,4,83,502,0.595079
Iraq,22,Male,3,Arabic,English,3,47,459,0.595079
Morocco,41,Female,8,Arabic,French,3,49,467,0.595079
Iraq,26,Female,8,Arabic,English,4,47,562,0.595079
Iraq,21,Male,8,Arabic,English,3,47,487,0.595079
Lebanon,22,Male,3,Arabic,English,3,83,534,0.595079
Morocco,36,Female,1,Arabic,Spanish,4,49,405,0.595079
Morocco,33,Male,5,Arabic,French,4,49,485,0.595079
Iraq,18,Male,2,Arabic,English,3,47,537,0.595079
Morocco,26,Female,3,Arabic,French,4,49,501,0.595079
Morocco,31,Male,2,Arabic,French,3,49,488,0.595079
Morocco,27,Female,6,Arabic,French,4,49,478,0.595079
Morocco,24,Male,1,Arabic,French,4,49,461,0.595079
Iraq,16,Male,3,Arabic,English,2,47,454,0.595079
Iraq,48,Male,4,Arabic,Monolingual,1,47,505,0.595079
Iraq,30,Male,7,Arabic,English,4,47,490,0.595079
Sudan,36,Male,6,Arabic,English,4,31,425,0.595079
Morocco,38,Male,0,Arabic,Spanish,3,49,501,0.595079
Morocco,29,Female,1,Arabic,French,4,49,458,0.595079
Morocco,30,Male,2,Arabic,French,4,49,435,0.595079
Morocco,20,Female,2,Arabic,French,3,49,558,0.595079
Morocco,21,Female,2,Arabic,French,3,49,552,0.595079
Morocco,25,Male,1,Arabic,French,4,49,398,0.595079
Lebanon,28,Male,9,Arabic,English,4,83,498,0.595079
Sudan,28,Male,3,Arabic,English,3,31,481,0.595079
Morocco,22,Male,12,Arabic,French,1,49,482,0.595079
Morocco,31,Male,3,Arabic,French,4,49,506,0.595079
Iraq,32,Female,2,Arabic,English,3,47,522,0.595079
Morocco,22,Male,8,Arabic,French,1,49,485,0.595079
Morocco,26,Male,4,Arabic,French,4,49,525,0.595079
Iraq,44,Male,5,Arabic,English,3,47,460,0.595079
Iraq,34,Male,2,Arabic,English,4,47,527,0.595079
Morocco,31,Male,13,Arabic,Arabic,3,49,504,0.595079
Morocco,31,Male,2,Arabic,Italian,3,49,472,0.595079
Sudan,42,Female,6,Arabic,English,2,31,493,0.595079
Iraq,34,Female,3,Arabic,English,4,47,449,0.595079
Morocco,19,Male,9,Arabic,Monolingual,3,49,530,0.595079
Morocco,18,Female,2,Arabic,Tamazight,2,49,499,0.595079
Iraq,19,Female,5,Arabic,Persian,2,47,519,0.595079
Morocco,33,Male,1,Arabic,French,4,49,414,0.595079
Sudan,27,Male,5,Arabic,English,4,31,467,0.595079
Morocco,21,Male,1,Arabic,English,3,49,444,0.595079
Lebanon,17,Female,2,Arabic,English,3,83,507,0.595079
Morocco,20,Male,2,Arabic,French,3,49,513,0.595079
Iraq,29,Male,2,Arabic,English,4,47,497,0.595079
Morocco,13,Male,17,Arabic,Tamazight,1,49,542,0.595079
Iraq,32,Male,3,Arabic,English,4,47,480,0.595079
Morocco,20,Female,16,Arabic,Monolingual,2,49,525,0.595079
Lebanon,35,Female,4,Arabic,English,4,83,542,0.595079
Iran,18,Female,13,Arabic,English,1,77,518,0.595079
Afghanistan,19,Male,1,Arabic,Pashto,3,19,532,0.595079
Morocco,23,Male,9,Arabic,French,3,49,507,0.595079
Lebanon,23,Male,3,Arabic,Monolingual,2,83,466,0.595079
Morocco,31,Male,1,Arabic,French,3,49,482,0.595079
Morocco,31,Female,2,Arabic,French,3,49,483,0.595079
Morocco,33,Male,1,Arabic,French,3,49,487,0.595079
Morocco,27,Male,5,Arabic,French,2,49,467,0.595079
Morocco,26,Male,17,Arabic,Monolingual,3,49,447,0.595079
Morocco,30,Female,3,Arabic,French,4,49,547,0.595079
Morocco,25,Male,1,Arabic,French,4,49,512,0.595079
Morocco,26,Male,2,Arabic,French,4,49,468,0.595079
Algeria,31,Male,4,Arabic,German,4,83,546,0.595079
Lebanon,21,Female,2,Arabic,German,3,83,560,0.595079
Lebanon,28,Female,8,Arabic,English,3,83,548,0.595079
Morocco,24,Female,1,Arabic,French,3,49,461,0.595079
Iraq,29,Male,7,Arabic,English,3,47,518,0.595079
Morocco,22,Female,2,Arabic,French,3,49,544,0.595079
Morocco,30,Male,2,Arabic,French,4,49,464,0.595079
Morocco,30,Male,11,Arabic,French,2,49,482,0.595079
Morocco,25,Male,8,Arabic,English,3,49,482,0.595079
Iraq,28,Female,8,Arabic,Arabic,4,47,526,0.595079
Iraq,25,Male,5,Arabic,English,4,47,449,0.595079
Morocco,5,Male,22,Arabic,Monolingual,3,49,555,0.595079
Morocco,25,Male,2,Arabic,French,4,49,521,0.595079
UnitedStates,29,Female,7,Arabic,English,4,94,644,0.595079
Morocco,28,Female,2,Arabic,French,4,49,545,0.595079
Iraq,16,Male,6,Arabic,English,1,47,519,0.595079
Algeria,44,Male,5,Arabic,French,4,83,475,0.595079
Morocco,24,Female,17,Arabic,Monolingual,1,49,557,0.595079
Iraq,17,Male,4,Arabic,Russian,2,47,517,0.595079
Iraq,28,Male,3,Arabic,English,4,47,464,0.595079
Libya,29,Female,2,Arabic,English,3,103,465,0.595079
Iraq,26,Female,3,Arabic,English,4,47,505,0.595079
Iraq,23,Female,4,Arabic,English,3,47,511,0.595079
Iraq,22,Male,3,Arabic,English,3,47,500,0.595079
Morocco,26,Male,5,Arabic,French,4,49,510,0.595079
Iraq,24,Male,6,Arabic,Armenian,4,47,498,0.595079
Morocco,34,Male,5,Arabic,French,4,49,481,0.595079
Morocco,20,Male,7,Arabic,French,3,49,511,0.595079
Iraq,27,Male,3,Arabic,Kurdish,4,47,490,0.595079
Morocco,18,Female,2,Arabic,French,3,49,513,0.595079
Morocco,28,Male,1,Arabic,French,4,49,503,0.595079
Morocco,13,Female,12,Arabic,Monolingual,2,49,540,0.595079
Iraq,45,Male,3,Arabic,English,4,47,500,0.595079
Morocco,21,Female,3,Arabic,French,3,49,475,0.595079
